Time,Location,Nature,Status,date
11:25 pm,236 S 80TH ST MKE,Trouble,Service in Progress View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Advised View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Unable to Locate Complainant View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Service in Progress View History,2024-07-15
11:25 pm,236 S 80TH ST MKE,Trouble,Advised View History,2024-07-15
11:24 pm,5173 N 35TH ST MKE,Trouble,Unable to Locate Complainant View History,2024-07-15
11:23 pm,E KENWOOD BLVD/N BARTLETT AVE MKE,Battery/Fight/Assault,Service in Progress View History,2024-07-15
11:21 pm,2920 N VEL R PHILLIPS AVE MKE: @D5:10-100,Return Station,Assignment Completed View History,2024-07-15
11:21 pm,3200BLK N 10TH ST MKE,Shots Fired,Service in Progress View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Advised View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Unable to Locate Complainant View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Advised View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Unable to Locate Complainant View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Unable to Locate Complainant View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Advised View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Advised View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Unable to Locate Complainant View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Advised View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Unable to Locate Complainant View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Advised View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Unable to Locate Complainant View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Unable to Locate Complainant View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Advised View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Advised View History,2024-07-15
11:20 pm,5407 N 64TH ST MKE,Battery/Fight/Assault,Unable to Locate Complainant View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Assignment Completed View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Unable to Locate Complainant View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Service in Progress View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Unable to Locate Complainant View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Service in Progress View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Assignment Completed View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Service in Progress View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Unable to Locate Complainant View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Assignment Completed View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Unable to Locate Complainant View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Assignment Completed View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Service in Progress View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Assignment Completed View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Unable to Locate Complainant View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Service in Progress View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Assignment Completed View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Unable to Locate Complainant View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Service in Progress View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Unable to Locate Complainant View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Service in Progress View History,2024-07-15
11:18 pm,2200 N PROSPECT AVE MKE: @CLARK,Robbery,Service in Progress View History,2024-07-15
11:18 pm,3135 N 9TH ST MKE,ShotSpotter,Assignment Completed View History,2024-07-15
11:15 pm,3455 N 14TH ST MKE,ShotSpotter,Unable to Locate Complainant View History,2024-07-15
11:13 pm,"LL(-87:55:01.3407,43:03:09.2374): EST 484 W WALNUT ST MKE",911,Service in Progress View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Service in Progress View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Advised/Referral View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Advised View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Service in Progress View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Advised View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Advised View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Advised View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Service in Progress View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Service in Progress View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Advised/Referral View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Advised/Referral View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Service in Progress View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Advised View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Service in Progress View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Advised View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Advised View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Advised View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Advised/Referral View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Service in Progress View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Service in Progress View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Advised View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Advised View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Service in Progress View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Advised/Referral View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Service in Progress View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Advised View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Advised View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Advised/Referral View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Service in Progress View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Service in Progress View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Advised View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Service in Progress View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Advised View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Advised/Referral View History,2024-07-15
11:12 pm,3330 S QUINCY AVE MKE,Battery/Fight/Assault - DV Related,Service in Progress View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Service in Progress View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Advised View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Service in Progress View History,2024-07-15
11:12 pm,2814 N 38TH ST MKE,Subject With A Weapon,Advised View History,2024-07-15
11:12 pm,"LL(-87:58:35.0079,43:03:40.4820): EST 2327 N 50TH ST MKE",911,Service in Progress View History,2024-07-15
11:10 pm,2629 N 46TH ST MKE,Trouble,Advised View History,2024-07-15
11:09 pm,1134 S 36TH ST MKE,Shots Fired,Service in Progress View History,2024-07-15
11:09 pm,1134 S 36TH ST MKE,Shots Fired,Assignment Completed View History,2024-07-15
11:09 pm,1134 S 36TH ST MKE,Shots Fired,To be Filed View History,2024-07-15
11:09 pm,1134 S 36TH ST MKE,Shots Fired,Assignment Completed View History,2024-07-15
11:09 pm,1134 S 36TH ST MKE,Shots Fired,Service in Progress View History,2024-07-15
11:09 pm,1134 S 36TH ST MKE,Shots Fired,Assignment Completed View History,2024-07-15
11:09 pm,1134 S 36TH ST MKE,Shots Fired,Service in Progress View History,2024-07-15
11:09 pm,1134 S 36TH ST MKE,Shots Fired,Service in Progress View History,2024-07-15
11:09 pm,N HOLTON ST/E NORTH AVE MKE,Overdose,Unable to Locate Complainant View History,2024-07-15
11:08 pm,N 91ST ST/W GOOD HOPE RD MKE,Motor Vehicle Accident,To be Filed View History,2024-07-15
11:08 pm,6434 W VILLARD AVE MKE,911,Service in Progress View History,2024-07-15
11:07 pm,3612 W CLARKE ST MKE,ShotSpotter,Unable to Locate Complainant View History,2024-07-15
11:06 pm,"LL(-87:56:10.2483,42:59:57.6238): EST 1836 W ARTHUR AVE MKE",911,Service in Progress View History,2024-07-15
11:03 pm,"LL(-87:57:57.5426,43:08:30.3934): EST 6813 N 43RD ST MKE",Alarm Sounding - MPD Response,Service in Progress View History,2024-07-15
11:01 pm,N HUBBARD ST/E RESERVOIR AVE MKE,Suspicious,Assignment Completed View History,2024-07-15
11:01 pm,2031 W COLFAX PL MKE,Battery/Fight/Assault - DV Related,Service in Progress View History,2024-07-15
11:00 pm,1475 W WINDLAKE AVE MKE: @UNIT 4,Welfare Citizen,Referral View History,2024-07-15
11:00 pm,1630 N 31ST ST MKE,ShotSpotter,Unable to Locate Complainant View History,2024-07-15
10:57 pm,2314 E WYOMING PL MKE: @UNIT E,Entry-Vehicle,Service in Progress View History,2024-07-15
10:57 pm,N 91ST ST/W DOGWOOD ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
10:56 pm,5601 N LOVERS LANE RD MKE: @HAMPTON INN MILWAUKEE NORTHWEST,Welfare Citizen,Unable to Locate Complainant View History,2024-07-15
10:56 pm,"LL(-87:58:47.9073,43:08:44.7540): EST 7048 N 55TH ST MKE",911,Service in Progress View History,2024-07-15
10:54 pm,723 S 26TH ST MKE,Welfare Citizen,Advised View History,2024-07-15
10:53 pm,2823 W CAPITOL DR MKE: @UNIT 4,Subject With A Weapon,Service in Progress View History,2024-07-15
10:52 pm,3021 N HOLTON ST MKE,Stolen Vehicle,Service in Progress View History,2024-07-15
10:49 pm,812 S LAYTON BLVD MKE,Threat,Advised View History,2024-07-15
10:48 pm,2320 W BURLEIGH ST MKE: @NOVA HIGH SCHOOL,Alarm Sounding - MPD Response,Service in Progress View History,2024-07-15
10:48 pm,1931 N 24TH ST MKE:UPPER,Trouble,Service in Progress View History,2024-07-15
10:46 pm,2110 W GRANT ST MKE,Stolen Vehicle,Service in Progress View History,2024-07-15
10:44 pm,N 46TH ST/W LISBON AVE MKE,Welfare Citizen,Advised View History,2024-07-15
10:41 pm,"LL(-87:57:06.2498,43:03:06.4152): EST 3020 W GALENA ST MKE",911,Service in Progress View History,2024-07-15
10:40 pm,2920 N VEL R PHILLIPS AVE MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
10:40 pm,2920 N VEL R PHILLIPS AVE MKE,Motor Vehicle Accident,Filed Driver Exchange Report View History,2024-07-15
10:40 pm,2920 N VEL R PHILLIPS AVE MKE,Motor Vehicle Accident,Filed Driver Exchange Report View History,2024-07-15
10:40 pm,2920 N VEL R PHILLIPS AVE MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
10:40 pm,2920 N VEL R PHILLIPS AVE MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
10:40 pm,2920 N VEL R PHILLIPS AVE MKE,Motor Vehicle Accident,Filed Driver Exchange Report View History,2024-07-15
10:40 pm,2920 N VEL R PHILLIPS AVE MKE,Motor Vehicle Accident,Filed Driver Exchange Report View History,2024-07-15
10:40 pm,2920 N VEL R PHILLIPS AVE MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
10:40 pm,2920 N VEL R PHILLIPS AVE MKE,Motor Vehicle Accident,Filed Driver Exchange Report View History,2024-07-15
10:40 pm,2920 N VEL R PHILLIPS AVE MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
10:40 pm,2920 N VEL R PHILLIPS AVE MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
10:40 pm,2920 N VEL R PHILLIPS AVE MKE,Motor Vehicle Accident,Filed Driver Exchange Report View History,2024-07-15
10:40 pm,2920 N VEL R PHILLIPS AVE MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
10:40 pm,2920 N VEL R PHILLIPS AVE MKE,Motor Vehicle Accident,Filed Driver Exchange Report View History,2024-07-15
10:39 pm,650 S 64TH ST MKE,Threat,Service in Progress View History,2024-07-15
10:38 pm,"LL(-87:57:10.2675,43:05:18.7800): EST 3919 N 31ST ST MKE",911,Service in Progress View History,2024-07-15
10:38 pm,E MASON ST/N JEFFERSON ST MKE,Motor Vehicle Accident,Assignment Completed View History,2024-07-15
10:36 pm,"LL(-87:56:35.8155,43:05:17.7358): EST 3916 N 24TH PL MKE",911,Service in Progress View History,2024-07-15
10:36 pm,"LL(-88:00:02.3726,43:06:35.0242): EST STH 145 S MKE",911,Service in Progress View History,2024-07-15
10:34 pm,"LL(-87:58:31.9944,43:04:26.0975): EST 4956 W CHAMBERS ST MKE",911,Service in Progress View History,2024-07-15
10:33 pm,3006 S 27TH ST MKE: @D6:100,Return Station,Assignment Completed View History,2024-07-15
10:33 pm,1853 N 12TH ST MKE:LOWER,Subject Wanted,Service in Progress View History,2024-07-15
10:33 pm,S 37TH ST/W MITCHELL ST MKE,Motor Vehicle Accident,Service in Progress View History,2024-07-15
10:32 pm,1255 N VEL R PHILLIPS AVE MKE,Welfare Citizen,Assignment Completed View History,2024-07-15
10:32 pm,"LL(-87:56:38.1302,43:05:04.6824): EST 2461 W NASH ST MKE",911,Service in Progress View History,2024-07-15
10:31 pm,2027 W ATKINSON AVE MKE,Shooting,Advised/Referral View History,2024-07-15
10:31 pm,2027 W ATKINSON AVE MKE,Shooting,Assignment Completed View History,2024-07-15
10:31 pm,2027 W ATKINSON AVE MKE,Shooting,Service in Progress View History,2024-07-15
10:31 pm,2027 W ATKINSON AVE MKE,Shooting,Advised View History,2024-07-15
10:31 pm,2027 W ATKINSON AVE MKE,Shooting,Advised View History,2024-07-15
10:31 pm,2027 W ATKINSON AVE MKE,Shooting,Assignment Completed View History,2024-07-15
10:31 pm,2027 W ATKINSON AVE MKE,Shooting,Service in Progress View History,2024-07-15
10:31 pm,2027 W ATKINSON AVE MKE,Shooting,Advised/Referral View History,2024-07-15
10:31 pm,2027 W ATKINSON AVE MKE,Shooting,Assignment Completed View History,2024-07-15
10:31 pm,2027 W ATKINSON AVE MKE,Shooting,Advised View History,2024-07-15
10:31 pm,2027 W ATKINSON AVE MKE,Shooting,Service in Progress View History,2024-07-15
10:31 pm,2027 W ATKINSON AVE MKE,Shooting,Advised/Referral View History,2024-07-15
10:30 pm,2333 N 49TH ST MKE: @D3:10-100,Return Station,Assignment Completed View History,2024-07-15
10:29 pm,2162 S 35TH ST MKE,Suicide Attempt,Referral View History,2024-07-15
10:29 pm,245 W LINCOLN AVE MKE: @D2,Reports,To be Filed View History,2024-07-15
10:29 pm,"LL(-87:56:42.8427,43:01:11.3554): EST 1127 S 25TH ST MKE",911,Service in Progress View History,2024-07-15
10:28 pm,N DR MARTIN L KING JR DR/W JUNEAU AVE MKE: alias MLK/JUNEAU,Assignment,Assignment Completed View History,2024-07-15
10:28 pm,"LL(-87:58:20.6690,43:08:01.6386): EST 4743 W MILL RD MKE",911,Service in Progress View History,2024-07-15
10:27 pm,5954 N 117TH ST MKE,Subject Wanted,Service in Progress View History,2024-07-15
10:27 pm,5954 N 117TH ST MKE,Subject Wanted,Unable to Locate Complainant View History,2024-07-15
10:25 pm,5970 N 70TH ST MKE,Battery/Fight/Assault,Advised/Referral View History,2024-07-15
10:25 pm,5970 N 70TH ST MKE,Battery/Fight/Assault,Advised View History,2024-07-15
10:25 pm,5970 N 70TH ST MKE,Battery/Fight/Assault,Advised View History,2024-07-15
10:25 pm,5970 N 70TH ST MKE,Battery/Fight/Assault,Advised/Referral View History,2024-07-15
10:25 pm,945 N 12TH ST MKE: @AURORA SINAI MEDICAL CENTER,Theft,Service in Progress View History,2024-07-15
10:25 pm,5970 N 70TH ST MKE,Battery/Fight/Assault,Advised View History,2024-07-15
10:25 pm,5970 N 70TH ST MKE,Battery/Fight/Assault,Advised/Referral View History,2024-07-15
10:24 pm,N 27TH ST/W VLIET ST MKE,Theft,Service in Progress View History,2024-07-15
10:24 pm,200 N 35TH ST MKE: @HOMETOWN,Threat,Advised View History,2024-07-15
10:23 pm,"LL(-87:55:34.9430,42:59:48.4294): EST 2635 S 11TH ST MKE",911,Service in Progress View History,2024-07-15
10:22 pm,N 101ST ST/W BENDER RD MKE,Resource Needed,Service in Progress View History,2024-07-15
10:21 pm,N 76TH ST/W HAMPTON AVE MKE,Driving Under The Influence,Unable to Locate Complainant View History,2024-07-15
10:21 pm,S 11TH ST/W CLEVELAND AVE MKE,Battery/Fight/Assault,Advised View History,2024-07-15
10:21 pm,S 11TH ST/W CLEVELAND AVE MKE,Battery/Fight/Assault,Unable to Locate Complainant View History,2024-07-15
10:21 pm,S 11TH ST/W CLEVELAND AVE MKE,Battery/Fight/Assault,Unable to Locate Complainant View History,2024-07-15
10:21 pm,S 11TH ST/W CLEVELAND AVE MKE,Battery/Fight/Assault,Advised View History,2024-07-15
10:20 pm,5760 N 91ST ST MKE: @UNIT 4,Entry-Building or Structure,Advised View History,2024-07-15
10:20 pm,5760 N 91ST ST MKE: @UNIT 4,Entry-Building or Structure,Advised/Referral View History,2024-07-15
10:20 pm,2413 N CRAMER ST MKE:UPPER,Battery/Fight/Assault,Service in Progress View History,2024-07-15
10:20 pm,N 101ST ST/W BENDER RD MKE,Shots Fired,Unable to Locate Complainant View History,2024-07-15
10:20 pm,2320 N 41ST ST MKE:UPPER,Battery/Fight/Assault,Advised View History,2024-07-15
10:18 pm,N 40TH ST/W VLIET ST MKE,Robbery,To be Filed View History,2024-07-15
10:18 pm,4106 W ROOSEVELT DR MKE,Trouble,Advised View History,2024-07-15
10:18 pm,N 40TH ST/W VLIET ST MKE,Robbery,Service in Progress View History,2024-07-15
10:18 pm,"LL(-87:56:35.2719,43:06:09.4932): EST 4687 N 24TH PL MKE",911,Service in Progress View History,2024-07-15
10:15 pm,"LL(-88:02:21.8079,43:08:08.8008): EST 10197 W KIEHNAU AVE MKE",911,Service in Progress View History,2024-07-15
10:11 pm,4934 N 53RD ST MKE,Welfare Citizen,To be Filed View History,2024-07-15
10:11 pm,4934 N 53RD ST MKE,Welfare Citizen,Service in Progress View History,2024-07-15
10:11 pm,4934 N 53RD ST MKE,Welfare Citizen,To be Filed View History,2024-07-15
10:11 pm,4934 N 53RD ST MKE,Welfare Citizen,Service in Progress View History,2024-07-15
10:11 pm,2920 N VEL R PHILLIPS AVE MKE: @D5,Return Station,Assignment Completed View History,2024-07-15
10:10 pm,"LL(-87:52:20.5683,43:03:48.1320): EST 2592 N LINCOLN MEMORIAL DR MKE",Motor Vehicle Accident,Service in Progress View History,2024-07-15
10:09 pm,3033 W LISBON AVE MKE: @EXPRESS CONVENIENCE CENTER,Welfare Citizen,Advised View History,2024-07-15
10:08 pm,E PLEASANT ST/N VAN BUREN ST MKE,Alarm Sounding - MPD Response,Service in Progress View History,2024-07-15
10:08 pm,325 N 29TH ST MKE: @A,Emotionally Disturbed Person,Service in Progress View History,2024-07-15
10:06 pm,1721 W CANAL ST MKE: @POTAWATOMI CASINO,Theft,Service in Progress View History,2024-07-15
10:05 pm,1831 W JUNEAU AVE MKE,Trouble,Advised View History,2024-07-15
10:05 pm,"LL(-88:00:03.8358,43:10:40.3772): EST 7356 W BROWN DEER RD MKE",911,Service in Progress View History,2024-07-15
10:05 pm,"LL(-87:57:47.8083,43:02:53.9879): EST 1372 N 40TH ST MKE",Alarm Sounding - MPD Response,Service in Progress View History,2024-07-15
10:04 pm,1900BLK S 32ND ST MKE,Suspicious,Service in Progress View History,2024-07-15
10:04 pm,1900BLK S 32ND ST MKE,Suspicious,Unable to Locate Complainant View History,2024-07-15
10:04 pm,1900BLK S 32ND ST MKE,Suspicious,Unable to Locate Complainant View History,2024-07-15
10:04 pm,1900BLK S 32ND ST MKE,Suspicious,Service in Progress View History,2024-07-15
10:04 pm,1900BLK S 32ND ST MKE,Suspicious,Unable to Locate Complainant View History,2024-07-15
10:04 pm,1900BLK S 32ND ST MKE,Suspicious,Service in Progress View History,2024-07-15
10:04 pm,1900BLK S 32ND ST MKE,Suspicious,Service in Progress View History,2024-07-15
10:04 pm,1900BLK S 32ND ST MKE,Suspicious,Unable to Locate Complainant View History,2024-07-15
10:04 pm,1900BLK S 32ND ST MKE,Suspicious,Service in Progress View History,2024-07-15
10:04 pm,1900BLK S 32ND ST MKE,Suspicious,Unable to Locate Complainant View History,2024-07-15
10:04 pm,1900BLK S 32ND ST MKE,Suspicious,Service in Progress View History,2024-07-15
10:04 pm,1900BLK S 32ND ST MKE,Suspicious,Unable to Locate Complainant View History,2024-07-15
10:03 pm,2474 W TAMARACK ST MKE,Entry-Vacant Building or Structure,Advised/Referral View History,2024-07-15
10:01 pm,823 W SOMERS ST MKE,Trouble,Advised View History,2024-07-15
10:01 pm,823 W SOMERS ST MKE,Trouble,Service in Progress View History,2024-07-15
10:00 pm,3626 W FOND DU LAC AVE MKE: @D7,Return Station,Service in Progress View History,2024-07-15
10:00 pm,3626 W FOND DU LAC AVE MKE: @D7,Return Station,Assignment Completed View History,2024-07-15
10:00 pm,3626 W FOND DU LAC AVE MKE: @D7,Return Station,Assignment Completed View History,2024-07-15
10:00 pm,3626 W FOND DU LAC AVE MKE: @D7,Return Station,Service in Progress View History,2024-07-15
10:00 pm,3626 W FOND DU LAC AVE MKE: @D7,Return Station,Assignment Completed View History,2024-07-15
